uuid,course_code,course_acronym,course_name,dept_acronym,description,credits,prerequisites,antirequisites,semester,semester_type,professor_allocated,schedule,related_course_codes,created_at,updated_at,suitable tags
09b209b8-c91f-4549-97a9-7b2f753541fd,SOC204,SNM,Sociology of New Media,SSH,"This course is aimed introducing students to macro-sociological concepts to understand the role of new media and online networking in the contemporary world. (In PART I) we draw from sociological perspectives that move beyond ‘technological determinism’ and shed light on the social and real-world implications of IT-driven media and communications. We begin with a survey of key concepts, including the theories of networks by Barry Wellman (2012), Manuel Castells (1996) and others who conceptualised the rise of ‘new’ media and online communicationsas as central to ongoing social change. (In Part II) We consider a series of thematic areas and evaluate these theories in the context of contemporary socieities. These themes range from the rising inequality and digital divide, to the role of new media in politics and power and also in the related fields of journalism and law. In terms of pedagogical approach, and evaluating criteria, our course will rely on active learning that requires all students to participate and engage with online communities as well as reflect on the key concepts through their own experience as social media users in India.",4,,,,monsoon,TBA,[],,52:19.3,52:19.3,"new-media, media-theory, digital-identity, online-behavior, participatory-culture, social-platforms, algorithmic-curation, media-politics, cyberculture, network-society, internet-sociology"
0a10f7a4-3882-4945-a623-77874a1ac7e3,MTH548,ATPD,Advance Topics in Partial Differential Equations,MTH,"This course is designed for senior undergraduate and Ph.D. students to explore advanced theoretical concepts in Partial Differential Equations (PDEs), focusing on non-linear PDEs, variational methods, regularity theory, and applications in physics and geometry.",4,,,6,winter,Ashish Kumar Pandey,"[{""day"": ""Monday"", ""end_time"": ""16:30"", ""start_time"": ""15:00""}, {""day"": ""Wednesday"", ""end_time"": ""16:30"", ""start_time"": ""15:00""}]",,52:16.5,52:16.5,"partial-differential-equations, boundary-value-problems, finite-difference-methods, elliptic-equations, wave-equations, numerical-methods, functional-analysis, green-functions, applied-mathematics"
0a3a50e9-2af5-447a-a48e-ed076a5f16f3,SSH526,RHPS,Reading Hegel's Phenomenology of Spiri,SSH,"This course will undertake a reading of major sections of one of the foundational texts of the phenomenological tradition within Continental philosophy —the Phenomenology of Spirit, by G.W. F. Hegel. Our concern would be to understand the senses in which the text develops, and/or fails to develop Kant’s transcendental idealist turn. Hegel claims that the movement from Kant, through Fichte and Schelling, to himself, represents a necessary development that ‘completes’ Kant’s transcendental turn, and therefore, sets up a coherent, universal, reflective, and thus, non-sceptical idealism. While this Hegelian (self) interpretation is widely accepted, it is open to contention.",4,,,,monsoon,TBA,[],SSH726,52:19.3,52:19.3,"hegelian-philosophy, phenomenology, german-idealism, dialectics, self-consciousness, master-slave-dialectic, philosophy-of-history, critical-theory, political-philosophy, abstract-thinking"
0ad7d449-1654-4d46-b47a-2df24248b621,ENT413,EF,Entrepreneurial Finance,OTHERS,"Entrepreneurial activity has been a potent source of innovation and job generation in the global economy. The life of an entrepreneur is exciting and dynamic. The challenge of envisioning a new product or service, infecting others with entrepreneurial zeal, and bringing a product to market can be one of the great learning experiences in life. All ventures require financing - taking investors' money today and expecting to return a significantly larger amount in the future. Typically the return comes from the venture's public offering, sale or merger. In the interim, the venture must manage its financial resources, communicate effectively with investors and partners and create value. This course is designed to provide the student with the ability to analyse the various processes and sources of seed and venture capital for funding a new enterprise – debt and equity. Planning for the funding aspect of a new venture is critical and this course will address the alternative sources of funds for carrying out the mission of the venture. Entrepreneurial Finance is primarily designed for students who plan to get involved with a new venture at some point in their career -- as a founder, early employee, advisor or investor. However, the course is also appropriate for students interested in gaining a broader view of the financing landscape for young firms.",4,,ECO331,6,winter,Anupam Saronwala,"[{""day"": ""Tuesday"", ""end_time"": ""12:30"", ""start_time"": ""11:00""}, {""day"": ""Thursday"", ""end_time"": ""12:30"", ""start_time"": ""11:00""}]",,52:21.9,52:21.9,"entrepreneurship, venture-capital, startup-valuation, angel-investing, business-finance, financial-statements, term-sheets, revenue-models, investment-decisions, fundraising-strategy, pitch-deck"
0b145f61-26bb-4e82-828d-81b00d364d14,SSH222,TPEE,Theory and Practice of Engineering Ethics,SSH,"The course aims at orienting the students to the theory and practice of meta-ethics, using a multidisciplinary and cross cultural approach.The goal is to help engineering and IT professionals think of ethics as part of the very process of their work.The course does not provide solutions to critical dilemmas. It does not claim to create ‘moral’ people, or ethical engineers.Rather, it encourages critical thinking about ethical issues and decision making. Students will learn to apply meta ethical theories to IT scenarios.We will use a mixed instructional methodology, that includes lecture, discussion, Q&A, one-on-one dialogue, learning team activities, handouts, library reference materials, ppt slides and video clips.",4,,,6,winter,TBA,[],,52:21.9,52:21.9,"engineering-ethics, ethical-frameworks, case-studies, professional-responsibility, risk-management, safety-design, whistleblowing, technology-impact, corporate-accountability, codes-of-conduct"
0c8bb8e3-bb9c-4321-adfd-5a100b3a300a,CSE525,GA,Introduction to Graduate Algorithms,CSE,"This course is an advanced form of an introductory algorithms course, and is meant to have a thorough grounding in core Algorithms required for pursuing PG degree in Computer Science. The course covers topics such as asymptotic notation, recurrence relation, graph algorithms, heaps, dynamic programming, greedy algorithms, divide and conquer, NP-completeness where the UG contents of each topic is first reviewed in a fast-paced manner, and is followed by some advanced content.",4,CSE222,,5,monsoon,Debajyoti Bera,"[{""day"": ""Monday"", ""end_time"": ""16:30"", ""start_time"": ""15:00""}, {""day"": ""Wednesday"", ""end_time"": ""16:30"", ""start_time"": ""15:00""}]",,52:14.0,52:14.0,"advanced-algorithms, algorithm-design, approximation-algorithms, randomized-algorithms, graph-algorithms, computational-complexity, dynamic-programming, divide-and-conquer, algorithm-analysis, problem-solving"
0cae83f3-999b-4016-8341-22a4842fc9b9,ECE666,AOMML,Applied Optimization Methods for Machine Learning,ECE,"In this course, we will discuss the foundations required for solving optimization problems in the context of machine learning through various case-studies/running-examples. This course will cover basics of linear algebra required for learning optimization theory. Further, this course provides a platform to set up an optimization problem, which could be linear and nonlinear; unconstrained and constrained; convex and non-convex; continuous and discrete; deterministic and stochastic. We also cover the machine learning based context of different topics.",4,,,6,winter,Bapi Chatterjee,"[{""day"": ""Monday"", ""end_time"": ""16:30"", ""start_time"": ""15:00""}, {""day"": ""Wednesday"", ""end_time"": ""16:30"", ""start_time"": ""15:00""}]",CSE517,52:16.5,52:16.5,"optimization-methods, convex-optimization, gradient-descent, constrained-optimization, machine-learning, mathematical-programming, stochastic-optimization, duality-theory, applications-in-ml, learning-theory"
0ced5cb7-33f5-4b1f-8d6a-e54e0ad7aa2a,MTH311,CIA,Combinatorics and its Applications,MTH,"The aim of this course is to familiarize students with fundamental concepts in combinatorics, especially those used in enumeration. Topics covered include permutation groups, linear codes, Stirling and Bell numbers. Generating functions are introduced and their applications are discussed. Applications of group theory to enumeration: Burnside’s Lemma and Polya’s theory of counting are covered. Students are introduced to error correcting codes and linear codes over finite fields.",4,MTH100,,6,winter,Nabanita Ray,"[{""day"": ""Tuesday"", ""end_time"": ""11:00"", ""start_time"": ""09:30""}, {""day"": ""Friday"", ""end_time"": ""11:00"", ""start_time"": ""09:30""}]",,52:16.5,52:16.5,"combinatorics, permutations, combinations, graph-theory, recurrence-relations, inclusion-exclusion, generating-functions, extremal-combinatorics, discrete-mathematics, enumeration-techniques"
0d65cc25-52ee-46d7-a538-90bea2af1657,CSE655,NS,Network Science,CSE,"The objective of this course is to provide introduction to network science, an emerging interdisciplinary discipline with applications to vario",4,,,6,winter,Ganesh Bagler,"[{""day"": ""Monday"", ""end_time"": ""18:00"", ""start_time"": ""16:30""}, {""day"": ""Wednesday"", ""end_time"": ""18:00"", ""start_time"": ""16:30""}]",,52:14.0,52:14.0,"network-science, complex-networks, small-world-networks, centrality-measures, graph-theory, community-detection, diffusion-models, epidemic-modeling, social-networks, network-visualization"
0d6d9982-80df-494e-b9eb-94067cc7dabc,ECE517,INE,Introduction to Nanoelectronics,ECE,Nanoelectronics is an interdisciplinary area of research which has a huge potential and is currently attracting a great deal of attention. The objective of this course is to understand the basic principles that govern the operation and electrical characteristics of nanoelectronic devices and become familiar with the recent research being undertaken in nanoelectronics.,4,,,,winter,TBA,[],,52:16.5,52:16.5,"nanoelectronics, quantum-tunneling, mosfets, nanoscale-devices, semiconductor-physics, quantum-mechanics, carbon-nanotubes, spintronics, miniaturization, emerging-technologies"
0f361629-e0bf-4cec-a503-d33ae17cd16a,DES520,HCAI,Human Centred AI,DES,"This course provides a comprehensive understanding of Human-Centered Al (HAI), focusing on designing Al systems that prioritize user needs, inclusivity, and accessibility. Students will explore the integration of user-centered design principles with Al technologies to create systems that are understandable, fair, and transparent. Emphasis will be placed on addressing ethical challenges such as bias and fairness while fostering effective human-Al interactions and ensuring responsible Al development.",4,"DES204,CSE643,CSE440,CSE343,CSE543,ECE563",,6,winter,Rajiv Ratn Shah,"[{""day"": ""Wednesday"", ""end_time"": ""11:00"", ""start_time"": ""09:30""},{""day"": ""Friday"", ""end_time"": ""12:30"", ""start_time"": ""11:00""}]",,52:19.3,52:19.3,"human-centered-ai, ethical-ai, explainable-ai, human-ai-interaction, usability, inclusive-design, responsible-ai, design-thinking, fairness-in-ai, user-experience"
106bfc3c-e113-464a-a48c-722bad08d1d8,CSE624A,ICC,Introduction to Computational Complexity,CSE,"One of the many beautiful results in the theory of computation is the equivalence of ""deterministic"" and ""non-deterministic"" variants of different models of computation, like Turing machines. One may ask whether this equivalence holds if we restrict the running time (or number of steps) of a Turing machine. This gives rise to one of the most important open problems in computer science, popularly known as the P versus NP question. This will be the starting point of our course. After briefly recalling Turing machines and discussing formal definitions of the classes 'P' and 'NP', we will see the notion of 'reductions', which will allow us to talk about the 'hardest' problems in NP, known as NP-complete problems. We will discuss some important NP-complete problems from different areas like logic, graph theory, etc. After that, we will briefly talk about other important classes corresponding to the running time of a Turing machine, like 'co-NP', 'EXP', and 'NEXP'. Following this, we will see a classification of computational problems based on the space used by the Turing machine. We will discuss some important classes like PSPACE and NPSPACE (the space-variants of P and NP, respectively), their relations with P and NP, a 'PSPACE-complete' problem, the equivalence of PSPACE and NPSPACE, and other space complexity classes. Then, we will see the concept of 'polynomial hierarchy', which generalizes P, NP, and co-NP and is contained in PSPACE. If time permits, we will see a high-level introduction of randomness in computation.",4,winter,,,monsoon,TBA,[],,52:14.0,52:14.0,"computational-complexity, p-vs-np, turing-machines, complexity-classes, space-complexity, reductions, hard-problems, intractability, time-complexity, theoretical-computer-science"
11647275-ace4-412f-958f-e35e5f11e365,CSE322,ToC,Theory of Computation,CSE,"The course gives an overview over basic formal grammars and abstract machine models used in Computer Science. In particular, finite automata, pushdown automata, context-free grammars and Turing machines are studied with respect to their properties and limits. Based on Turing machines the concepts of decidability and recursive enumerability are introduced.",4,"CSE121,MTH210",,6,winter,Diptapriyo Majumdar,"[{""day"": ""Tuesday"", ""end_time"": ""16:30"", ""start_time"": ""15:00""}, {""day"": ""Thursday"", ""end_time"": ""16:30"", ""start_time"": ""15:00""}]",,52:14.0,52:14.0,"theory-of-computation, automata-theory, regular-languages, context-free-grammars, turing-machines, decidability, computational-theory, formal-languages, pushdown-automata"
11f818fc-d7fb-4a9a-81c7-94e326877d7c,BIO543,BDMH,Big Data Mining in Healthcare,BIO,"One of the major challenges in the field of healthcare is extracting knowledge from the exponentially growing biomedical and clinical data. In this course, students will learn techniques for managing and mining big healthcare data. It will be broadly divided into four parts; the first part will cover various repositories or databases in the field of biomedical science. In the second part, students will be introduced to data mining techniques. Scaling data mining techniques for big data will be covered in the third phase of this course. Finally, students will learn how to solve health-related problems using a knowledge-based discovery approach.",4,,,6,winter,G P S Raghava,"[{""day"": ""Monday"", ""end_time"": ""11:00"", ""start_time"": ""09:30""}, {""day"": ""Thursday"", ""end_time"": ""11:00"", ""start_time"": ""09:30""}]",,52:19.3,52:19.3,"healthcare-analytics, big-data, bioinformatics, medical-data-mining, predictive-modeling, healthcare-ai, electronic-health-records, machine-learning, healthcare-insights, population-health"
1230d974-a501-4567-97b2-6846230053a0,SOC207,ITS,Information Technology And Society,SSH,"The Course will give a brief historical and sociological context to the emergence of Information technology and its spread from the specialist field of military intelligence to the everyday world of civilian use. It will analyse the effect of this new technology on industrial work culture, finance and education leading to new spatial, regional and global ways of doing business, creating knowledge and demarcating sovereignty. It will take up Silicon Valley and Bangalore briefly as case studies explaining this phenomena. It will next focus on the internet and its impact on new forms of human communication, warfare, business, governance, education and medicine. On the cultural front it will examine the interplay bewteen family and sociality, gender and age, transnationality and work, entrepreneurship and labour under conditions of the Knowledge Society or the New Economy. The convergence of mobile with internet technologies will be examined for the development of political movements and political cultures in democratic governance with the attendant concerns of privacy, surveillance, cyber security and violence . In India, the public culture of ICT4D will be compared with the start-up culture of doing business and new forms of e-governance today. The problem of the Digital Divide will be highlighted against the backdrop of new youth aspirations, middle class wealth creation and rural urban distinctions. New forms of aggressive identity- seeking globally, through new forms of IT-based entertainment, networked community formation and religious proselytisation, leading to terror, violence and risk will be outlined, especially for the everyday world of the young. Finally, the need for appropriate laws and ethical constraints to address these social concerns will be examined at the personal and professional level.",4,,"HSS212,HSS101",,winter,TBA,[],,52:19.3,52:19.3,"technology-and-society, digital-divide, information-society, socio-technical-systems, surveillance, privacy, ethics-of-technology, internet-governance, ict4d, digital-culture"
13329d8c-db53-4353-af98-cfae7283d74a,DES522,IDUDA,"Inclusive Design, Universal Design & Accessibility",DES,"Inclusive Design is a methodology that enables and draws on the full range of human diversity i.e. including and learning from people with a range of perspectives. The objective of this project-based course is to learn about the background, principles and purpose of inclusive design, accessibility and universal design. The students will learn the process of inclusive design, how to think in an 'inclusive' way and apply that knowledge to a group project. Assistive technologies and multi-sensory interaction technologies are primarily aimed at including braoder range of users and these kind of solutions are needed for creating more accessible environment and experiences. By the end of the course, the students will be able to critique the accessibility of existing design solutions and be able to improve them by considering these features. They will also be able to include more users and different user perspectives in their design thinking process.",4,DES201,,5,monsoon,Richa Gupta,"[{""day"": ""Monday"", ""end_time"": ""11:00"", ""start_time"": ""09:30""}, {""day"": ""Wednesday"", ""end_time"": ""11:00"", ""start_time"": ""09:30""}]",,52:19.3,52:19.3,"inclusive-design, universal-design, accessibility, assistive-technology, human-centered-design, usability, disability-inclusion, design-for-all, social-impact, accessibility-standards"
13e4a027-8415-440f-94db-3fc616463be3,MTH579,PTH,Percolation Theory,MTH,"The origin of the study of percolation theory in 1957 was to model the flow of a liquid through a random medium. Unlike stochastic processes where the motion is random while the medium is fixed, here the medium is random. Physicists adopted this model to describe many phenomenon, such as phase transition and formation of clusters, observed in statistical physics. Mathematicians studied this model because it not only has an honest application, but that the questions are easy to frame, but new techniques are required to understand them. In the 1990’s application of the mathematical theory developed over the three decades were used to study wireless transmission and network topology. This course will motivate students towards formulating models to understand real-life phenomenon. In addition to developing skills to study discrete phenomenon, it will also enable students to apply their knowledge from a diverse set of fields to answer questions.",4,"MTH371, MTH102",,6,winter,Rahul Roy,"[{""day"": ""Tuesday"", ""end_time"": ""16:30"", ""start_time"": ""15:00""}, {""day"": ""Thursday"", ""end_time"": ""16:30"", ""start_time"": ""15:00""}]",,52:16.5,52:16.5,"percolation-theory, probability-theory, phase-transitions, statistical-mechanics, random-graphs, critical-phenomena, lattice-models, stochastic-processes, mathematical-physics"
141fa293-02dc-42a2-b4b8-2faff89837f7,BIO561,CADD,Computer Aided Drug Design,BIO,"This course teaches the principles and practice of dug discovery, molecular mechanics and biomolecular simulations with an emphasis on the practical skills needed to perform and interpret simulations of biological macromolecules. In addition, this course will also introduce Molecular Docking technique that is essential for Computational Drug Design.",4,,,6,winter,Arjun Ray,"[{""day"": ""Wednesday"", ""end_time"": ""11:00"", ""start_time"": ""09:30""},{""day"": ""Friday"", ""end_time"": ""12:30"", ""start_time"": ""11:00""}]",,52:19.3,52:19.3,"drug-design, cheminformatics, molecular-modeling, docking-simulations, pharmacokinetics, bioinformatics, computational-biology, structure-based-design, machine-learning-in-biology, drug-discovery"
15945d08-911e-476d-900a-a5c1c1921391,ECO221,ECO,Econometrics I,SSH,"We will review working with expectation operators and matrix algebra. We will study various statistical models utlizied to test theoretical economic relationships, analyze historical economic events, and conduct economic policy evaluation. Simple and multiple regression using ordinary least squares estimation, maximum likelihood estimation, and generalized least squares estimation will be covered in detail. We will learn tools of basic statistical inference and diagnostics for these models. Time-allowing, we will study logit and probit regressions to handle discrete choices (e.g. Yes/No choice scenarios). basic time-series analyses with tests and controls for trends, seasonality, and autocorrelation.",4,MTH201,ECO302,4,winter,J V Meenakshi,"[{""day"": ""Tuesday"", ""end_time"": ""16:30"", ""start_time"": ""15:00""}, {""day"": ""Thursday"", ""end_time"": ""16:30"", ""start_time"": ""15:00""}]",,52:19.3,52:19.3,"econometrics, linear-regression, hypothesis-testing, economic-models, statistical-inference, time-series-analysis, panel-data, causal-inference, economic-theory, r-econometrics"
15dc4875-7b25-47c4-a618-bc950681946d,CSE653,TC,Topics in Cryptanalysis,CSE,"This course aims for analyzing the security of various cryptosystems. The course will befocusing mainly on the fundamentals of cryptanalysis techniques as mentioned: Differential Cryptanalyis Linear Cryptanalysis Meet in the Middle Attack Rebound Attack Time-Memory Trade-off Attack Hash function attacks (Damgaard's MD4 attack, Wang's attack on MD4, MD5, SHA-1) Attacks against RSA, Number Field Sieve Fault Attacks, Algebraic attacks",4,,,6,winter,Ravi Anand,"[{""day"": ""Tuesday"", ""end_time"": ""16:30"", ""start_time"": ""15:00""}, {""day"": ""Thursday"", ""end_time"": ""16:30"", ""start_time"": ""15:00""}]",,52:14.0,52:14.0,"cryptanalysis, cryptography, encryption-breaking, block-ciphers, differential-cryptanalysis, side-channel-attacks, mathematical-cryptography, information-security, advanced-security"
162b17a3-9272-46c0-a2e0-507b80ee67b3,SSH214,Lit,Introduction To The Study Of Literature,SSH,"1. Develop and encourage the students to grow and evolve through the literary journey 2. Expose the students to a range of literary genres (involving both fiction and non-fiction): poetry, drama, novel and short story 3. Introduce the students to a wide range of writings of authors from different cultures and ages across the world  4. To sensitise students to some of the important common social issues which writers of different backgrounds, cultures, and mediums have examined.",4,,,6,winter,TBA,[],,52:21.9,52:21.9,"literary-analysis, literary-theory, narrative-techniques, critical-reading, genres, poetry-analysis, fiction-analysis, text-interpretation, cultural-contexts, literature-studies"
16447010-5213-463b-b7c8-4349508d8c75,DES530,BAI,The Business of Artificial Intelligence,DES,"Artificial Intelligence is clearly creating waves as firms, big and small, rush to launch new products, solutions, and companies. However, the question remains as to how to create a sustainable business from AI? Converting technology into a tangible, viable business proposition requires an extensive understanding of customer behaviour, competitive landscape, business models and ability to execute towards a tangible product market fit. The evolution of human-machine interactions from a context where the human adapts to the machine and the machine does not (i.e., traditional human-machine interaction), to a context where the human and the machine learn from and adapt to each other requires conceptualization about the nature of relationships consumers have with AI-driven products. The course focuses on evolving human - machine interactions, its implications on design, product development, and ability to create and grow a viable business.",4,,,5,monsoon,Vinish Kathuria,"[{""day"": ""Tuesday"", ""end_time"": ""16:30"", ""start_time"": ""15:00""}, {""day"": ""Thursday"", ""end_time"": ""16:30"", ""start_time"": ""15:00""}]",,52:19.3,52:19.3,"ai-business, ai-strategy, ethical-ai, productization-of-ai, ai-commercialization, business-models, responsible-ai, ai-startups, ai-deployment, innovation-management"
